relative_path,caption_type,caption_index,caption_text,editorial_sink,why_useful,use_rule,claim_boundary
paper/Hu et al 2026 - Conformal Robustness Control.pdf,figure,1,"Figure 1 compares the conventional CRO framework with our proposed method CRC, at the nominal",agenda extendida CRPTO/tesis robustness-certificate appendix,Shows the conceptual contrast between conventional CRO and CRC-style robustness control.,Use as a schematic inspiration only; do not reproduce the figure without permission.,"Future gate over V/violation, not current CRPTO evidence."
supplement/Barber Candes Ramdas Tibshirani 2023 - Conformal Prediction Beyond Exchangeability.pdf,figure,2,"Figure 2: Simulation results showing mean prediction interval coverage and width, averaged",agenda extendida CRPTO/tesis source/shift conformal appendix,Coverage-width caption is useful for explaining why non-exchangeability gates must report both validity and efficiency.,Use for assumptions table and reviewer response framing; no new run.,Requires declared weighting or shift structure.
supplement/Tibshirani et al 2019 - Conformal Prediction Under Covariate Shift.pdf,figure,1,"Figure 1: Empirical coverages of conformal prediction intervals, computed using 5000 different random splits",agenda extendida CRPTO/tesis source/shift conformal appendix,Canonical weighted-conformal covariate-shift coverage caption for density-ratio caveats.,Use only to motivate weight-estimation assumptions.,No source-shift deployment claim without credible weights.
supplement/Bhattacharyya Barber 2026 - Group-Weighted Conformal Prediction.pdf,figure,3,"Figure 3: [Lei and Candès, 2021]’s WCP coverage guarantee (3), compared to the new guarantee",agenda extendida CRPTO/tesis group/source governance appendix,Compares older weighted CP guarantees to the new group-weighted guarantee.,"Use as candidate-experiment design input, not as evidence of LC performance.",Needs target/source group weights before any run.
supplement/Liu Levis Normand Han 2024 - Multi-Source Conformal Inference Under Distribution Shift.pdf,figure,1,Figure 1: Illustration of the proposed robust algorithm for multi-source conformal prediction. Each θb represented by a,agenda extendida CRPTO/tesis multi-source conformal appendix,Illustrates multi-source calibration structure and source-combination logic.,Use for taxonomy only.,"LC source families are retrospective, not validated external sources."
supplement/Cortes-Gomez et al 2025 - Utility-Directed Conformal Prediction.pdf,figure,1,Figure 1: Illustration of how proposed methods compare to the standard formulation of conformal prediction.,agenda extendida CRPTO/tesis utility-directed CP future gate,Contrasts standard CP with utility-directed CP in a decision-aware frame.,Use to specify future decision-loss screen.,No selector change without fixed loss and coverage gate.
supplement/Cortes-Gomez et al 2025 - Utility-Directed Conformal Prediction.pdf,figure,4,Figure 4: Measured impact of base model accuracy on downstream optimization values on all losses considered,agenda extendida CRPTO/tesis utility-directed CP future gate,Connects base model accuracy to downstream optimization value.,Use as appendix motivation for utility reporting.,Not evidence that CRPTO currently optimizes utility-directed sets.
supplement/Guan 2023 - Localized Conformal Prediction.pdf,figure,1,Figure 1: Conformal bands (blue) and localized conformal bands (red) using regression score (dashed) and quantile,agenda extendida CRPTO/tesis localized conformal candidate appendix,Visualizes global versus localized conformal bands.,Use to frame a localized-vs-Mondrian challenger only if reviewer asks.,No current localized calibration design.
paper/Chi Ding Peng 2019 - Data-Driven Robust Credit Portfolio Optimization in P2P Lending.pdf,figure,2,Figure 2: Performance comparison.,CRPTO/agenda extendida CRPTO/tesis applied robust-credit related work,Performance-comparison caption anchors the P2P robust portfolio context.,Use to motivate domain fit; do not treat as comparable champion evidence.,"Different data, objective and uncertainty construction."
paper/Albanesi Vamossy 2024 - Credit Scores Performance and Equity.pdf,figure,4,Figure 1 plots the Gini coefficient for the credit score and our model prediction over time.,agenda extendida CRPTO/tesis score/equity governance appendix,Gini-over-time caption is a useful template for score-vs-model governance reporting.,Use as dashboard/table design inspiration only.,Not a legal fair-lending claim.
tesis/Fuster et al 2022 - Predictably Unequal Effects of Machine Learning on Credit Markets.pdf,figure,1,Figure 1 gives an instructive example of possible group-specific effects when borrow-,agenda extendida CRPTO/tesis equity/noise governance appendix,Clarifies how better prediction technology can create group-specific effects.,Use to frame equity caveats in prose.,No protected-attribute causal claim in LC.
tesis/Blattner Nelson 2021 - How Costly is Noise Data and Disparities in Consumer Credit.pdf,table,4,Table 6 shows that 46%-53% of the overall AUC difference is accounted for by the fact that disadvantaged,agenda extendida CRPTO/tesis data-quality/equity governance appendix,Links predictive-performance gaps to disadvantaged consumers and data quality.,Use as motivation for source/noise limitations.,Project lacks the paper's protected-group and lender data.
supplement/CFPB 2014 - Public Information Proxy Race Ethnicity.pdf,table,5,TABLE 3: CORRELATIONS BETWEEN PROXY PROBABILITY AND REPORTED RACE AND ETHNICITY,agenda extendida CRPTO/tesis fairness-proxy boundary appendix,Shows proxy-probability validation needs richer race/ethnicity methodology.,Use only to justify the stop rule on legal fair-lending claims.,LC lacks surname/fine geography and protected labels.
tesis/Cresswell et al 2024 - Conformal Prediction Sets Improve Human Decision Making.pdf,figure,2,Figure 2: Main trial screen shown to participants for Ob-,agenda extendida CRPTO/tesis governance/committee communication appendix,Human-facing uncertainty display can inspire committee explanation design.,"Use for communication patterns, not as credit decision evidence.","Different task, subjects and utility function."
