score_shift,calibration_log_odds_shift,taxonomy_groups,repetitions,coverage_mean,coverage_std,coverage_min,coverage_max,mean_width,both_set_share,upper_saturated_share
0.0,0.0,1,50,0.9007666666666667,0.010467853825824124,0.8766666666666667,0.9266666666666666,0.6464223232538272,0.008866666666666667,0.008866666666666667
0.0,0.0,5,50,0.9006166666666666,0.010210108480948856,0.88,0.9225,0.4831328860491596,0.1201,0.1201
0.0,0.75,1,50,0.8185166666666668,0.011746917866618417,0.7975,0.8466666666666667,0.6464223232538272,0.008866666666666667,0.008866666666666667
0.0,0.75,5,50,0.8357666666666667,0.012731796395473127,0.8075,0.8575,0.4831328860491596,0.1201,0.1201
0.0,1.5,1,50,0.6967166666666667,0.012290662071249847,0.6766666666666666,0.72,0.6464223232538272,0.008866666666666667,0.008866666666666667
0.0,1.5,5,50,0.7357333333333334,0.014401947777062744,0.7041666666666667,0.7633333333333333,0.4831328860491596,0.1201,0.1201
0.08,0.0,1,50,0.8220333333333333,0.031518252279550185,0.7525,0.8658333333333333,0.7239670978191955,0.04243333333333333,0.04243333333333333
0.08,0.0,5,50,0.9096666666666667,0.014573490361447162,0.8766666666666667,0.9408333333333333,0.9198191100233459,0.3911333333333334,0.3911333333333334
0.08,0.75,1,50,0.7011666666666666,0.03320639093748323,0.63,0.7558333333333334,0.7239670978191955,0.04243333333333333,0.04243333333333333
0.08,0.75,5,50,0.8395166666666667,0.021325207051335098,0.79,0.8825,0.9198191100233459,0.3911333333333334,0.3911333333333334
0.08,1.5,1,50,0.5399666666666667,0.036053924717405504,0.4725,0.6,0.7239670978191955,0.04243333333333333,0.04243333333333333
0.08,1.5,5,50,0.7389166666666667,0.029925384343695807,0.6666666666666666,0.81,0.9198191100233459,0.3911333333333334,0.3911333333333334
