point_cap,policy_pairs,payoff_negative,payoff_positive,payoff_indeterminate,default_negative,default_positive,default_indeterminate,miscoverage_negative,miscoverage_positive,miscoverage_indeterminate
0.05,9,9,0,0,0,9,0,0,9,0
0.0525,9,9,0,0,0,9,0,0,9,0
0.055,9,9,0,0,0,9,0,0,9,0
0.0575,9,8,0,1,0,9,0,0,9,0
0.06,9,9,0,0,0,9,0,0,9,0
0.0625,9,8,0,1,0,6,3,0,9,0
0.065,9,9,0,0,0,6,3,0,9,0
0.0675,9,5,0,4,1,4,4,0,8,1
0.07,9,2,0,7,3,2,4,0,6,3
0.0725,9,2,0,7,5,2,2,0,5,4
0.075,9,2,2,5,7,2,0,3,2,4
0.0775,9,1,2,6,7,1,1,6,2,1
0.08,9,1,2,6,7,1,1,6,2,1
0.0825,9,0,9,0,9,0,0,8,0,1
0.085,9,0,9,0,9,0,0,9,0,0
0.0875,9,0,8,1,9,0,0,9,0,0
0.09,9,0,8,1,9,0,0,9,0,0
0.0925,9,0,9,0,9,0,0,9,0,0
0.095,9,0,9,0,9,0,0,9,0,0
0.0975,9,0,6,3,9,0,0,8,0,1
0.1,9,0,2,7,9,0,0,7,0,2
0.1025,9,0,9,0,9,0,0,9,0,0
0.105,9,0,9,0,9,0,0,9,0,0
0.1075,9,0,9,0,9,0,0,9,0,0
0.11,9,0,9,0,9,0,0,9,0,0
0.1125,9,0,9,0,9,0,0,9,0,0
0.115,9,0,9,0,9,0,0,9,0,0
0.1175,9,0,8,1,9,0,0,7,0,2
0.12,9,0,9,0,9,0,0,8,0,1
