paired_policy_id,comparator_rule,expected_objective,realized_payoff_lower,realized_payoff_upper,weighted_default_lower,weighted_default_upper,weighted_miscoverage_lower,weighted_miscoverage_upper,unresolved_exposure_share,undiscounted_snapshot_cash_yield
linear-001,c2_contemporaneous,2598006.348422811,-122901.51965475529,57655.52284524463,0.31988303329886575,0.33719636663219904,0.30774287838129516,0.32505621171462845,0.017313333333333333,0.04746438667491979
linear-001,guardrail,2567626.9617237393,-106821.10960922296,123789.37142467719,0.3128207842256359,0.33525977128697526,0.3082957842256359,0.3295347712869753,0.022438987061339368,0.04905498003370382
linear-002,c2_contemporaneous,2514181.0750558143,10381.483440270677,203516.0811147441,0.2930661568048434,0.31181216291402036,0.2881514718500718,0.30689747795924877,0.018746006109176976,0.05531127925966563
linear-002,guardrail,2443941.5459362348,-110862.79933846346,130446.66793309792,0.2962255385387462,0.320060202558364,0.3004580084779021,0.3227060058308532,0.023834664019617757,0.05059517182414777
linear-003,c2_contemporaneous,2471272.257168331,-8904.924808261756,198481.19269173825,0.2873100708844627,0.3078217375511294,0.28534588196199806,0.3058575486286647,0.020511666666666668,0.05553799579374201
linear-003,guardrail,2380452.982126398,-139586.24915343313,106659.94834656687,0.29180491561484667,0.31625491561484664,0.30410289242408706,0.32629955909075375,0.02445,0.049070470970611256
linear-004,c2_contemporaneous,2634186.2088719215,-174435.65577516006,-8477.255775160118,0.3332901341635138,0.34909180083018043,0.3178055893837954,0.33360725605046204,0.015801666666666665,0.03823911901375582
linear-004,guardrail,2613388.1528454325,-216905.29113613395,-4968.6755691976105,0.3321060767052347,0.3525736850186785,0.3196265723827455,0.3388941806961894,0.020467608313443866,0.04391942990177023
linear-005,c2_contemporaneous,2542091.857908888,-55190.770761795226,131270.19173820477,0.30450944183597295,0.32249944183597296,0.2978259042123329,0.3158159042123329,0.01799,0.05271356887398836
linear-005,guardrail,2480804.309773982,-151960.19139146135,85197.97743657678,0.30510919504793277,0.3284025546872221,0.30858438324673304,0.3302910762193558,0.02329335963928937,0.04710430649304188
linear-006,c2_contemporaneous,2494188.2058219016,-12423.439480688103,186073.59937223158,0.29163503759949877,0.31109970082027305,0.2871990738151366,0.30666373703591093,0.019464663220774333,0.05553632033634992
linear-006,guardrail,2411832.36070525,-142468.75508770853,102968.57058627508,0.2957890728891507,0.32007472111093405,0.3039601224583938,0.32647012245839385,0.024285648221783418,0.04860044272231882
linear-007,c2_contemporaneous,2666340.8347581136,-211351.29030888507,-33890.65530888509,0.3422394284841919,0.3591227618175252,0.32276932528093505,0.33965265861426835,0.016883333333333334,0.03386329868228648
linear-007,guardrail,2650635.700707789,-237049.71684392673,-54706.1243439267,0.3431425166507582,0.3603825166507582,0.3245508499840915,0.34100584998409145,0.01724,0.03437359891132864
linear-008,c2_contemporaneous,2567379.1815592907,-43879.81825402602,138934.93186363997,0.3074105811751589,0.3250429919008332,0.29913794734897925,0.3167703580746535,0.01763241072567422,0.052278950059888356
linear-008,guardrail,2514375.0568313086,-158862.30673959287,71525.22826040712,0.3109617039390291,0.3335400372723624,0.3105379709621888,0.33152963762885546,0.022578333333333332,0.047186885235375155
linear-009,c2_contemporaneous,2518028.8932804484,11024.444820993478,203516.14482099345,0.2937133064031614,0.3123833064031614,0.28866542442499543,0.3073354244249954,0.018670000000000003,0.05582400758340527
linear-009,guardrail,2440912.048083603,-161221.7495389078,82485.82796109219,0.30109943302213543,0.3251960996888021,0.3067734122550282,0.3292834122550282,0.02409666666666667,0.047462632101546796
