cluster_type,cluster,n_funded,exposure_share,weighted_default_rate,V_contribution,gamma_cp_contribution,max_loan_weight
grade,D,141,0.4235309766121724,0.039430409868925306,0.013700000000003425,0.1061922279638631,0.03500000000000875
grade,C,144,0.4088190233877858,0.028557868719647578,0.011675000000002921,0.03763273516537857,0.0196000000000049
grade,B,13,0.07347500000001837,0.0,0.0,0.005446823129129282,0.030000000000007503
grade,E,24,0.0691750000000173,0.0,0.0,0.019180408977103693,0.012025000000003007
grade,F,15,0.021000000000005254,0.21428571428571425,0.003500000000000875,0.01630993755957343,0.0030000000000007503
grade,G,4,0.004000000000001,0.0,0.0,0.0032247642034481834,0.00100000000000025
period,2019H1,102,0.2913190233877562,0.04187848722726359,0.011200000000002801,0.05230176374166467,0.030000000000007503
period,2018H2,94,0.26872500000006705,0.026141966694576253,0.007025000000001756,0.04611762661661645,0.03500000000000875
period,2019H2,76,0.258355976612131,0.03077149638360137,0.004950000000001237,0.059369234771083086,0.03500000000000875
period,2018H1,45,0.10537500000002635,0.054092526690391454,0.005700000000001424,0.014333498600027462,0.0100000000000025
period,2020,24,0.07622500000001907,0.0,0.0,0.01586477326910459,0.015000000000003752
period_grade,2019H2/D,41,0.1480309766121035,0.03715438569599816,0.002500000000000625,0.04931336471669931,0.03500000000000875
period_grade,2019H1/C,44,0.13661902338771773,0.04538167413484044,0.00620000000000155,0.012342056720706146,0.0196000000000049
period_grade,2018H2/D,32,0.11265000000002819,0.026631158455392805,0.0030000000000007503,0.010796738107661574,0.03500000000000875
period_grade,2019H1/D,42,0.09910000000002478,0.050454086781029264,0.00500000000000125,0.031223460666450494,0.008000000000002
period_grade,2019H2/C,33,0.09382500000002346,0.02611244337863043,0.0024500000000006127,0.008920355695604572,0.012000000000003001
period_grade,2018H2/C,34,0.08770000000002193,0.034492588369441274,0.0030250000000007563,0.007977968532904106,0.01380000000000345
period_grade,2018H2/E,16,0.052875000000013224,0.0,0.0,0.016230382604574108,0.012025000000003007
period_grade,2018H1/C,19,0.05007500000001252,0.0,0.0,0.0043685312511383256,0.0100000000000025
period_grade,2018H1/D,21,0.04680000000001171,0.06837606837606837,0.0032000000000008003,0.004578018727175008,0.0035000000000008752
period_grade,2020/C,14,0.040600000000010156,0.0,0.0,0.004023822965025418,0.015000000000003752
period_grade,2019H1/B,5,0.037300000000009326,0.0,0.0,0.002683521095265679,0.030000000000007503
period_grade,2020/B,5,0.01867500000000467,0.0,0.0,0.0015603045582024567,0.006000000000001501
period_grade,2020/D,5,0.01695000000000424,0.0,0.0,0.010280645745876714,0.008000000000002
period_grade,2019H2/B,2,0.016500000000004126,0.0,0.0,0.0011355143587792075,0.01300000000000325
period_grade,2019H1/E,6,0.013300000000003327,0.0,0.0,0.0019990269255051414,0.008050000000002012
period_grade,2018H2/F,9,0.012500000000003127,0.07999999999999999,0.00100000000000025,0.009438342543764704,0.0030000000000007503
period_grade,2018H1/F,3,0.0055000000000013744,0.4545454545454546,0.002500000000000625,0.004435949174689681,0.002500000000000625
period_grade,2018H1/E,2,0.0030000000000007503,0.0,0.0,0.0009509994470244486,0.0020000000000005
period_grade,2019H1/F,3,0.0030000000000007503,0.3333333333333333,0.0,0.0024356458411190457,0.00100000000000025
period_grade,2018H2/G,2,0.0020000000000005,0.0,0.0,0.0016067117108300214,0.00100000000000025
period_grade,2019H1/G,2,0.0020000000000005,0.0,0.0,0.0016180524926181624,0.00100000000000025
period_grade,2018H2/B,1,0.00100000000000025,0.0,0.0,6.748311688193747e-05,0.00100000000000025
