month,n,coverage_90,target_90,coverage_95,target_95,avg_width_90,coverage_90_roll3,coverage_95_roll3,avg_width_90_roll3
2018-01-01,19073,0.926440518009752,0.9,0.9643999370838358,0.95,0.7697107639286384,0.926440518009752,0.9643999370838358,0.7697107639286384
2018-02-01,16313,0.9229448905780666,0.9,0.9635260221908907,0.95,0.7830246129162739,0.9246927042939093,0.9639629796373632,0.7763676884224562
2018-03-01,18538,0.9206494767504585,0.9,0.9615384615384616,0.95,0.7763840282230147,0.9233449617794257,0.9631548069377294,0.7763731350226424
2018-04-01,19569,0.9192089529357658,0.9,0.9626449997444938,0.95,0.7847996089571683,0.920934440088097,0.9625698278246153,0.7814027500321522
2018-05-01,20259,0.9166790068611481,0.9,0.959030554321536,0.95,0.7866165665720799,0.9188458121824574,0.9610713385348305,0.7826000679174209
2018-06-01,17087,0.9203488031837069,0.9,0.9603207116521332,0.95,0.7769243807467654,0.918745587660207,0.9606654219060543,0.7827801854253379
2018-07-01,16921,0.9274274570060871,0.9,0.9661367531469771,0.95,0.7886080457299245,0.9214850890169807,0.9618293397068821,0.78404966434959
2018-08-01,16854,0.9289189509908627,0.9,0.9677227957754836,0.95,0.7838799767156184,0.9255650703935522,0.9647267535248646,0.7831374677307693
2018-09-01,13393,0.9298140819831255,0.9,0.9669976853580229,0.95,0.7761222880983341,0.9287201633266918,0.9669524114268279,0.7828701035146256
2018-10-01,14997,0.9245182369807294,0.9,0.9627258785090351,0.95,0.7816029835008522,0.9277504233182392,0.9658154532141805,0.7805350827716016
2018-11-01,12630,0.9269200316706255,0.9,0.9672209026128266,0.95,0.8073505427164691,0.9270841168781602,0.9656481554932949,0.7883586047718851
2018-12-01,11544,0.9325190575190575,0.9,0.9690748440748441,0.95,0.8012134560504541,0.9279857753901375,0.9663405417322353,0.7967223274225917
2019-01-01,11265,0.9349312028406569,0.9,0.967953839325344,0.95,0.7942063711684021,0.9314567640101133,0.9680831953376715,0.8009234566451084
2019-02-01,8414,0.9278583313525077,0.9,0.9632754932255764,0.95,0.7925143525329681,0.9317695305707407,0.9667680588752549,0.7959780599172749
2019-03-01,7829,0.9324307063481926,0.9,0.9678119810959254,0.95,0.800063281121001,0.9317400801804524,0.9663471045489486,0.7955946682741238
2019-04-01,8574,0.9342197340797761,0.9,0.9707254490319571,0.95,0.7942325469609094,0.9315029239268254,0.9672709744511531,0.7956033935382928
2019-05-01,7803,0.9337434320133282,0.9,0.9665513264129181,0.95,0.7896847102171237,0.9334646241470989,0.9683629188469336,0.7946601794330114
2019-06-01,6360,0.9364779874213837,0.9,0.9680817610062893,0.95,0.7676823693937892,0.9348137178381627,0.9684528454837215,0.7838665421906074
2019-07-01,6846,0.9398188723342098,0.9,0.9721004966403739,0.95,0.7745365695606189,0.9366800972563073,0.9689111946865271,0.7773012163905105
2019-08-01,5475,0.9565296803652968,0.9,0.9791780821917808,0.95,0.7829975545041857,0.9442755133736301,0.9731201132794814,0.7750721644861981
2019-09-01,4282,0.9565623540401681,0.9,0.978514712751051,0.95,0.7779146777660733,0.9509703022465583,0.9765977638610686,0.7784829339436259
2019-10-01,3673,0.9564388783011163,0.9,0.977402668118704,0.95,0.7832055410534884,0.9565103042355271,0.9783651543538453,0.7813725911079157
2019-11-01,2577,0.9685681024447031,0.9,0.9829258828094684,0.95,0.7890388568481469,0.9605231115953292,0.9796144212264077,0.7833863585559029
2019-12-01,2307,0.9796272214997833,0.9,0.9926311226701344,0.95,0.7951554996677868,0.9682114007485342,0.9843198911994356,0.7891332991898073
2020-01-01,1642,0.9926918392204629,0.9,0.9957369062119367,0.95,0.7810180903874614,0.9802957210549832,0.9904313038971798,0.7884041489677983
2020-02-01,919,0.9956474428726877,0.9,0.9967355821545157,0.95,0.7544386191756397,0.9893221678643114,0.9950345370121956,0.776870736410296
2020-03-01,416,0.9975961538461539,0.9,1.0,0.95,0.80500637770493,0.9953118119797683,0.9974908294554842,0.7801543624226769
2020-04-01,503,0.9940357852882704,0.9,0.9960238568588469,0.95,0.6646942266432917,0.9957597940023706,0.9975864796711208,0.7413797411746205
2020-05-01,147,1.0,0.9,1.0,0.95,0.7371133894735417,0.9972106463781415,0.9986746189529488,0.7356046646072545
2020-06-01,174,1.0,0.9,1.0,0.95,0.6586846058564668,0.9980119284294234,0.9986746189529488,0.6868307406577667
2020-07-01,234,1.0,0.9,1.0,0.95,0.7208676648974951,1.0,1.0,0.7055552200758345
2020-08-01,155,0.9935483870967742,0.9,0.9935483870967742,0.95,0.6216209278987698,0.9978494623655912,0.9978494623655915,0.6670577328842439
2020-09-01,96,1.0,0.9,1.0,0.95,0.6729425572051588,0.9978494623655912,0.9978494623655915,0.6718103833338079
